match,round,home_team,away_team,kickoff
73,R32,South Africa,Canada,2026-06-28T19:00:00+00:00
74,R32,Germany,Paraguay,2026-06-29T20:30:00+00:00
75,R32,Netherlands,Morocco,2026-06-30T01:00:00+00:00
76,R32,Brazil,Japan,2026-06-29T17:00:00+00:00
77,R32,France,Sweden,2026-06-30T21:00:00+00:00
78,R32,Ivory Coast,Norway,2026-06-30T17:00:00+00:00
79,R32,Mexico,Ecuador,2026-07-01T01:00:00+00:00
80,R32,England,DR Congo,2026-07-01T16:00:00+00:00
81,R32,United States,Bosnia and Herzegovina,2026-07-02T00:00:00+00:00
82,R32,Belgium,Senegal,2026-07-01T20:00:00+00:00
83,R32,Portugal,Croatia,2026-07-02T23:00:00+00:00
84,R32,Spain,Austria,2026-07-02T19:00:00+00:00
85,R32,Switzerland,Algeria,2026-07-03T03:00:00+00:00
86,R32,Argentina,Cape Verde,2026-07-03T22:00:00+00:00
87,R32,Colombia,Ghana,2026-07-04T01:30:00+00:00
88,R32,Australia,Egypt,2026-07-03T18:00:00+00:00
