team,market_value_eur_m
England,1500
France,1300
Spain,1200
Brazil,1100
Portugal,1050
Germany,1000
Argentina,900
Netherlands,850
Italy,800
Belgium,600
Norway,560
Uruguay,560
Turkey,540
Colombia,520
Denmark,520
Austria,500
Senegal,470
Morocco,460
Ecuador,440
Croatia,430
United States,420
Nigeria,420
Switzerland,420
Mexico,360
Ukraine,360
Japan,340
Poland,320
Ivory Coast,320
Algeria,320
Canada,270
Cameroon,260
Ghana,260
Egypt,240
South Korea,230
DR Congo,210
Paraguay,160
Jamaica,130
Tunisia,130
Australia,130
Saudi Arabia,120
Iran,110
Qatar,90
Uzbekistan,90
Iraq,70
Costa Rica,70
Panama,70
New Zealand,60
Bolivia,45
